formula,target
O7 Si2 Sr1 V1,0
Ga1.2 Mn0.8 Sc1,1
Ce1 O3 Sb1,1
O7 Si2 Sr1 Zr1,0
Ce2 F0.48 O1.52 S2 Sb1.9 Se2,1
Pd3 S4 Y1,0
O1.94 Sc0.12 Zr0.88,1
Co1 Sb0.75 Se1.2 Sn0.05,1
Cu5.32 Ge2.68 Se8,1
Cu2 Mn3 O7.5 S2 Sr4,1
Ce0.7 Eu0.15 O2 Pr0.15,1
H10 As2 Co1 Fe2 O14,0
O7 Si2 Sr2 Zn1,0
Al2 Eu1 S4,0
Mo6 Nd1 S8,0
Cu1 Hf1 Si1,0
Ag1 Er1 Pb1,1
Ga4 Sc1 V2,0
F5 Nb3 O5,1
C2 H1 K5 N4,0
Mn3 O6 Te1,0
Cu6 Nd12 O25,0
H20 Co1 N2 O14 Se2,0
Be13 Pu1,0
Cd1 Ni1,0
C1.32 Si9 Tb15,1
Pt23 Si11 Tm3,0
Bi9 Cl5 Mn0.8 O12 Pb0.2,1
Pd0.86 Th0.14,1
Al0.3 La1.75 Ni0.7 O4 Sr0.25,1
Ce1 Ge5,0
Cs2 S3 Te1,0
Cr1.51 Cu1 S2.2 Se1.8 Sn0.49,1
Bi0.85 O1.545 Tb0.105 V0.045,1
H3 Fe2 Na1 O8 S2,0
Fe10.5 Mo1.5 Nd1,1
As3 Ni4 Y1.25 Zr0.75,0
As2 F18 Sb2 Sn1,0
Ag1 Al1 Se2,0
Dy1 Ir2 Si2,0
Ce2 La2 O7,1
H10 As4 Mo18 O67,1
H3 Al17.91 Fe3.276 Li0.1 Mg1.07 O48 Si7.56 Zn0.12,1
B4 Na2 O7,0
Cu4.21 Zn8.79,1
Cu1 O5 Pb0.57 Sr1.93 Tl0.5,1
Cd1 Po1,0
H3 La1,0
Os1 Sb2,0
Co1 La2 O4.2,1
B4 Er1 Fe3 O12,0
Nb1 O5 Ti1 Tl1,1
Ba8 Rh2.74 Si42.61,1
Al1.524 Mg3.238 O12 Si3.238,1
Gd5 Ru2,0
Ce1 Ni0.4 Si1.6,1
Cu1 Fe1 O5.61 Pb0.5 Sr2 Y0.5,1
O7.75 W0.75 Yb2 Zr1.25,1
Na2 O4 S2,0
Ge42.97 Hg3.03 Rb8,1
Cs3.41 Fe2 O5 Rb2.59,1
C16.6 H83 Al92 Ca46.6 N16.6 O384 Si100,1
Gd3 In0.71 Pd1.27,1
Cr2 Nb0.6 Si0.4,1
Ag5 S4 Sb1,0
Gd5 Pb4,0
Al1 Li1 Si1,0
N2.6 O4.1 Sm2 W1 Zr1,1
Dy5 Sn4,0
Cu1.16 Er1 Mn1 P2,1
Fe1 Ge2 Li0.38 Na0.62 O6,1
Cd2 Dy1,0
Mn3 O24 P6 V4,1
Rb2 S7 Sb4,0
Ho2 Li9 P5 S20,0
Bi1.5 Mg0.5 Na0.4 Nb1.5 O6.7,1
Ag3 O12 P3 Tl2,0
Cd1 Te1,1
Co1 Se17 U8,0
Cu1.74 Mg0.26 O5 Y2,1
I14 Sr1 W6,0
In1.8 La0.2 O6 Te1,1
Cs2 F6 Na1 Sc1,0
La7 P12 Pd17,0
Fe0.6 O4 Ti0.467 Zn1.7 Zr0.233,1
Ba4 Cu6.73 O14.54 Y2,1
B2.3 La3 Ni12.7,1
Ir1 K2 O7 Sm2,0
Al1 Br7 Se1,0
Fe15.5 Sm2 Zr1.5,1
B1 Co12 Si2 Y2,1
Bi1 O12 P4 Rb1,1
C1 Co1 Er1,1
Ca1 O6 V2,0
Al13 Co4,0
Co0.44 Gd1 Ge2,1
Al4 Np1,0
Al0.51 Ba1 In1.49,1
Cu2.28 O12 Ta4,1
Ba3 O9 Ru2 Sr1,0
Mg2.503 Mn0.497 Na2 O16 S4,1
Fe1.968 O3.938 Zn0.984,1
Ga2 O9 Zn6,1
Cr0.93 Fe0.07 Sb2,1
Ce0.27 Cu1 Nd1.32 O3.93 Sr0.41,1
O20 Tb11,0
B15 Bi2 K7 O30 Sr1,0
C1.21 Cu2.12 O73.61 Si36,1
Bi1 Ca7.8 F1.5 Na0.9 O24 P6,1
Cd2.4 O6.4 P1.6,1
Ge1 Li1 Pr1,0
Ca0.2 Mn1 O3 Pr0.7 Sr0.1,1
Cr0.72 Fe0.72 Ni0.56 Zr1,1
Cu7.38 Mn4 S32 Sn12,1
Rh1 Sn1 U1,0
O12 P3 V3,0
O17 P4 Pb1 V3,0
Ba8 Pt3.8 Si42.2,1
Ca1 Mg2 Sb2,0
Eu0.13 Na0.94 O6 Sc0.94 Si2,1
As1 Ce1 O1 Ru1,0
Cr1 O6 Te1 Yb1,0
Hf1 Sn1,0
C0.396 Fe17 Nd2,1
Fe0.909 Sn0.091,1
Cr1.6 Nb3 Ni2.4 Si6,1
Pt2 Sr1,0
N0.92 Zr1,1
Fe2 Mo3 Na3 O12,0
Bi1 Cs1 Nb2 O7,0
Ce1 Mn2.1 Ni2.9,1
Pr3 Sn5,0
Cr0.9 La1 Mn0.1 O3,1
Na2 O8 S2 Zn1,0
Ag5 O4 P1 Te1,0
H4 Cd1 Cr2 K2 O10,0
C2 B2 Mg1,0
Fe2 K2 O16 Ti6,1
C2 Ba2 F3 Gd1 O6,0
Al6 Dy1 Mn6,1
As3 Ni4 Pr1.25 Zr0.75,0
Ba2 O6 W1.05 Zn0.9,1
As3 V4,0
Ba2 Ca0.28 Cu3 O6 Y0.72,1
Cu0.4 In0.4 Se2 Zn1.2,1
Pb1 Se5 U2,0
Fe1.5 O3 Ti0.5,1
H17 Cl1 N6 O3 Ru1,0
C3 H16 N1 O12 P3 Zn1,0
Er0.5 Re2 Th0.5,1
Li1.99 Mn1.01 O3,1
Ba0.08325 Ca0.24975 La0.667 Mn1 O3,1
Cu1 S7 Si1 Y3,0
In1 Ir1 Tb1,0
Nb1 O4 Tb1,0
Ca1.003 Fe0.205 Mg0.895 O6 Si1.901,1
Ba0.2 Cu2 Gd1 O8 Ru1 Sr1.8,1
O5 Pr2 Re1,0
Cr1 F6 Nb1,0
Au1 Sc1 Si1,0
Ca0.7 O3 Sm0.19 Ti1,1
Al4 Mn13 O28 Sb2 Si2,0
C1.896 Al11.448 Ca7.32 Cl0.054 K0.192 Na0.392 O53.904 S0.054 Si12.552,1
H20 K2 Mg3 O24 P4,0
Bi0.3 O3 Pb0.7 V1,1
Al0.05 Mg0.975 O3 Si0.975,1
Cd1 Ga1 Pr1,0
B1 Ba1 Cl1 F4,0
Eu1 Pd1 Tl2,0
Al2 Ca0.2 Fe1.2 Mg1.6 O12 Si3,1
Bi10 Yb11,0
Co4 Sb12 Tl0.25,1
Ce0.77 Hf0.23 O2,1
Al11 Mn4.6,1
O0.997 Ti1,1
Ca0.35 Cu2 Ga1 O7 Sr2 Y0.65,1
Ge1 In1 Sr1,1
Fe1 Ge2 In0.5 O7 Y0.5,1
F10 Na4 Sn3,0
Cu0.95 Mg0.05,1
B1 Ge0.4 O10.62 Pb1.6 Tb4.5,1
Cu2 La1.86 O6.66 Sr1.14,1
Fe0.997 Li1.003 O4 P1,1
B13 Na6 O22.5,0
K0.79 Ni3.09 Se3,1
B2 Ni5 O10 Ti1,1
Br1 Cu1 La1 Nb2 O7,1
N2 O5 Sm2 Ta2,1
Cr1.46 Cu1 Ni0.44 Se4,1
H8 Ca0.14 F0.5 Fe4.266 K1.74 Mg0.062 Mn2 Na0.62 O30 Si8 Ti0.924 Zr1.076,1
H6 Li1 O6 Sb1,1
Bi1 Ni0.96,1
Ba2 Cu1 O4.46 Sc1,1
Nb2.206 O11.309 Sr5.794,1
Ni1 Sb2,0
Co2 Eu1 Si2,0
H8 Cs4 O4 P2 Se6,0
As5 La4 Zn1.67,1
Nb5 Sb4,0
H2 Al1 Na3 O9 P2,0
Bi26 O75 S12,1
Bi4 Cr0.9 F1 Fe4.1 O13,1
B1 Er0.08 O3 Y0.92,1
Bi0.02 La0.98 Mo1 O4.3,1
C1 H18 Cr1 N3 O14 S2,0
Ba1 Bi3 Fe3 O16 Sr6,1
Ba1 La2 O10 Ti3,1
Ga8 K8 Sn38,1
Ir1 O3 Sr1,0
Fe2 Mg0.4 Ni0.2 O4 Zn0.4,1
H4 Ca0.89 Fe0.04 K4 N2 Na4 O24 S4,1
Co3 Gd2 Si5,0
Co1 P1,0
K10 Mg1 Mo7 O27,0
Fe6 Ge5,0
La9.5 O26 Si5.87,1
Co1 F1 Fe1 La1 O5 Sr1,1
O14 Pb3 Te1 V2 Zn3,0
Co1 Dy5 Sb2,0
Mn1 Ni1 Si1,0
Ag0.79 Ga1 Li0.21 S2,1
C6 Co1 Cs2 Fe1 N6,0
Co2 Si7 Yb2.5,0
B6 Cr1 Sc2,0
B0.3 Ni3 P0.7,1
Bi2 O7 Sr2,0
Co2 La0.5 P2 Pr0.5,1
As1 Ti0.47 V0.53,1
B3 Mo0.91,1
Bi1 Cd1 O5 V1,0
Er4.32 Rh6 Sn18.68,1
F2 O1 Sb2 Sr2 Ti2,0
Am2 Ni2 Sn1,0
Al92 Ca23.2 Mg22.4 O384 Si100,1
F21 Rb5 Zr4,0
La1 Sb2 Zn0.61,1
Ba2 O6 Pb1 Pr1,1
Ag1 Sm1,0
Al0.171 Fe0.829 O3 Tb1,1
Cl4 Tl2,0
S4 V3,0
Co2 Er1,0
Au0.6 Cu3 N1,1
H2 Be2 Ca3 O12 Si3,0
Bi3 Ti4.59 Zn1,1
C2 Ce0.25 Lu0.75,1
As3 I1 O6 Pb2,0
H6 As1 Cs5 Mo8 O32,0
Ba0.11 O4 Pb0.89 S1,1
In6 La10 O6 S17,1
Al3 Li9 O29 P8,0
Ga0.2 Ge0.8 Rh1,1
Au2 Nb3,0
Bi1 Ho2 O2,0
Mn0.06 Ni0.94 O1,1
Ni1 Sc0.5 Sn1 Ti0.5,1
Mn3 Pt0.5 Rh0.5,1
Ba1.97 Cu3 Gd0.84 O7 Pr0.03,1
H0.588 Al1.856 Ca2.34 Fe0.804 O12 Si2.853,1
As1 Te2 Zr2.29,1
Cs0.287 O3 W0.95,1
Cr1.92 Sb0.2 Se4 Zn0.8,1
Ag2.08 Bi17.92 Cu8 Pb4 S36,1
